AppType,cli
SqlTriggerTotalLinesOfCode,0
SqlTriggerTotalOccurrences,0
SqlTriggerTotalParsingErrors,0
SqlTriggerTotalWarnings,0
SqlUnrecognizedElementsLOC,0
SqlViewCharacterConversionRate,0
SqlViewFullyConvertedOccurrences,0
SqlViewLoCConversionRate,0
SqlViewObjectConversionRate,0
SqlViewTotalCharacters,0
SqlViewTotalConversionErrors,0
SqlViewTotalLinesOfCode,0
SqlViewTotalOccurrences,0
SqlViewTotalParsingErrors,0
SqlViewTotalWarnings,0
StartConversion,2026/04/17 16:06:35 -04:00
SystemCPU,Data not provided
SystemRAM,Data not provided
TableCharacterConversionRate,94.45
TableFullyConvertedOccurrences,1
TableLoCConversionRate,92
TableObjectConversionRate,12.5
TablesTransformationTarget,Regular
TablesWithCaseInsensitiveCollationColumns,0
TableTotalCharacters,12603
TableTotalConversionErrors,0
TableTotalLinesOfCode,300
TableTotalOccurrences,8
TableTotalParsingErrors,0
TableTotalWarnings,34
TargetLagValue,1 day
TemporaryTables,0
TotalCharacterConversionRate,94.54
TotalCodeUnits,22
TotalConversionErrors,0
TotalConvertedLines,2349
TotalErrors,80
TotalFiles,27
TotalFilesNotGenerated,0
TotalIdentifiedObjects,25
TotalInvalidFiles,0
TotalLinesOfCode,2529
TotalLoCConversionRate,92.88
TotalMissingObjectReferences,5
TotalNonParsingTransformationExceptions,3
TotalOtherEWIs,77
TotalParsingErrors,3
TotalParsingEWIs,3
TotalPowerBiFiles,0
TotalSize,0.12MB
TotalValidatedFiles,0
TotalWarnings,79
TransactionsWithNestedTransactions,0
TransformationTime,0.829958
TransformUseDatabase,0
TriggerCharacterConversionRate,0
TriggerFullyConvertedOccurrences,0
TriggerLinesOfCode,0
TriggerLoCConversionRate,0
TriggerObjectConversionRate,0
Triggers,0
TriggerTotalCharacters,0
TriggerTotalConversionErrors,0
TriggerTotalLinesOfCode,0
TriggerTotalOccurrences,0
TriggerTotalParsingErrors,0
TriggerTotalWarnings,0
TypeAliasCount,3
TypeArrayCount,0
TypeObjectCount,0
UdfCallsInDDLCount,0
UdfCallsInDMLCount,0
UniqueFDMs,13
UniqueMissingObjectReferences,4
UniqueOtherCriticalIssues,1
UniqueParsingIssues,1
UniquePRFs,1
UnrecognizedElements,0
UnrecognizedElementsLOC,0
UnScopeCFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeJavaFunctionsObjects,0
UnScopeJavaProceduresLoC,0
UnScopeJavaProceduresObjects,0
UseCharactersConversionRate,Off
UseExistingNameQualification,Off
UseIntervalDatatype,False
UseLinesOfCodeConversionRate,Off
UseNoneSchema,On
ViewCharacterConversionRate,0
ViewFullyConvertedOccurrences,0
ViewLoCConversionRate,0
ViewObjectConversionRate,0
ViewsWithSelectAsteriskOnly,0
ViewTotalCharacters,0
ViewTotalConversionErrors,0
ViewTotalLinesOfCode,0
ViewTotalOccurrences,0
ViewTotalParsingErrors,0
ViewTotalWarnings,0
WarehouseName,UPDATE_DUMMY_WAREHOUSE
WorkloadName,
